_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo,match
5,a0,w2300,nh.q28aa.001,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk nh.q28aa.001 windows,nh.q1caa.001,acer 15.6 intel core i7 2.6ghz 16 gb ram 1 tb hdd + 256 gb ssd windows 10 home|g9-593-72vt nh.q1caa.001,1
26,a1011,w685,t8tjg,2018 flagship lenovo thinkpad 11e (4h generation) 11.6 notebook intel i3-7100u 128gb m.2 ssd 4gb ddr4 802.11ac bluetooth win10 t8tjg windows,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd t8tjg os,0
30,a102,w1746,c300sa-dh02,asus chromebook c300sa compact 13.3 inch (intel celeron 4gb 16gb emmc black) asus c300sa-dh02,c300sa-dh02,c300sa-dh02 cel n3060 4gb 16gb 13.3in chrome os asus chrome,1
44,a1031,w4581,a515-51-596k,acer laptop 15.6 intel core i5 3.40ghz 8gb ram 256gb ssd windows 10 (certified refurbished) a515-51-596k home,nx.gnpaa.016,refurbished acer aspire 3 laptop intel core i5 2.5 ghz 8gb ram 256 gb ssd windows 10 home nx.gnpaa.016,1
65,a1047,w1400,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar,n855hj,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n855hj microsoft?? (64-bit)??,1
79,a1047,w1488,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 512gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft?? (64-bit)??,1
82,a1047,w1501,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 32gb ddr4 gtx 1060 250gb ssd windows 10 home wi-fi+bluetooth 1-year warranty n850hp6 microsoft,1
95,a1047,w1548,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft?? (64-bit)??,1
111,a1047,w1572,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1050ti 512gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft?? (64-bit)??,1
112,a1047,w1573,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hp6 microsoft,1
